dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_hourly,chronos,21,767,0.02134336535301473,0.9791666666666666,0.19544339179992676
m4_hourly,chronos,21,774,0.021690454954902332,1.0,0.18661181131998697
m4_hourly,chronos,21,782,0.020174523554224937,1.0,0.19961420694986978
m4_hourly,chronos,21,789,0.021205918032986423,1.0,0.20966593424479166
m4_hourly,chronos,21,796,0.019920990520363877,0.9791666666666666,0.20250574747721353
m4_hourly,chronos,21,803,0.018279799255025056,0.9791666666666666,0.18593597412109375
m4_hourly,chronos,21,811,0.017957747577586107,0.9791666666666666,0.17747879028320312
m4_hourly,chronos,21,818,0.025383818454833493,0.9791666666666666,0.1734431584676107
m4_hourly,chronos,22,569,0.1561358810816374,0.9583333333333334,1.226636250813802
m4_hourly,chronos,22,573,0.14843193860724568,0.8958333333333334,1.1994171142578125
m4_hourly,chronos,22,576,0.16542950650263163,0.8958333333333334,1.1776669820149739
m4_hourly,chronos,22,580,0.1796968651521537,0.9166666666666666,1.2517797152201335
m4_hourly,chronos,22,584,0.19222449579586587,0.8541666666666666,1.292031968633334
m4_hourly,chronos,22,588,0.23345303111192253,0.9166666666666666,1.3822333017985027
m4_hourly,chronos,22,591,0.19695690719203818,0.9791666666666666,1.324745814005534
m4_hourly,chronos,22,595,0.23314261361956598,0.8333333333333334,1.1969553629557292
m4_hourly,chronos,23,767,0.11660200328850705,0.9375,0.9529736836751302
m4_hourly,chronos,23,774,0.11688423594847944,0.9583333333333334,0.8856798807779948
m4_hourly,chronos,23,782,0.14976101152521248,0.9166666666666666,0.9143816630045573
m4_hourly,chronos,23,789,0.17616429563689354,0.8541666666666666,1.0260035196940105
m4_hourly,chronos,23,796,0.1837074368040905,0.8541666666666666,1.0614382425944011
m4_hourly,chronos,23,803,0.21004059086812454,0.75,1.012407938639323
m4_hourly,chronos,23,811,0.3549655854158724,0.6041666666666666,1.3082784016927083
m4_hourly,chronos,23,818,0.3451695800370847,0.5416666666666666,1.2555988629659016
m4_weekly,chronos,0,558,0.36865182411976355,0.46153846153846156,0.703125
m4_weekly,chronos,0,567,1.5234981695810954,0.6153846153846154,1.7980769230769231
m4_weekly,chronos,0,575,3.4115271543845154,0.0,1.7944711538461537
m4_weekly,chronos,0,584,2.3142954704089043,0.6923076923076923,6.725961538461538
m4_weekly,chronos,0,592,3.1935061332507004,0.38461538461538464,5.939903846153846
m4_weekly,chronos,0,601,1.5790580456073469,0.6923076923076923,6.34375
m4_weekly,chronos,0,609,1.0493403654832105,1.0,7.0625
m4_weekly,chronos,0,618,1.2344007981129177,0.8461538461538461,6.730769230769231
m4_weekly,chronos,1,1244,2.297421670571352,0.0,1.7259615384615385
m4_weekly,chronos,1,1265,1.060248697721041,0.23076923076923078,1.6754807692307692
m4_weekly,chronos,1,1287,0.41296680157001203,1.0,4.314903846153846
m4_weekly,chronos,1,1308,0.4722703493558444,0.9230769230769231,2.230769230769231
m4_weekly,chronos,1,1329,0.7906535136394013,0.5384615384615384,2.4375
m4_weekly,chronos,1,1350,0.1678088823954264,1.0,2.1436298076923075
m4_weekly,chronos,1,1372,0.33131069281162356,0.8461538461538461,2.1983173076923075
m4_weekly,chronos,1,1393,0.47166021787203266,1.0,2.737079326923077
m4_weekly,chronos,2,1260,0.09590995250604091,0.8461538461538461,0.5793269230769231
m4_weekly,chronos,2,1282,0.14323028417734,0.23076923076923078,0.46153846153846156
m4_weekly,chronos,2,1303,0.5951845829303449,0.0,0.3125
m4_weekly,chronos,2,1325,0.09795293318919647,0.9230769230769231,0.6778846153846154
m4_weekly,chronos,2,1347,0.16281430660149993,0.6923076923076923,0.5600961538461539
m4_weekly,chronos,2,1369,0.14421567916870115,0.7692307692307693,0.71875
m4_weekly,chronos,2,1390,0.10205652530376727,0.7692307692307693,0.5504807692307693
m4_weekly,chronos,2,1412,0.12239901958367765,1.0,0.7283653846153846
m4_weekly,chronos,3,1310,1.1720164714715422,1.0,7.4735576923076925
m4_weekly,chronos,3,1333,0.4147958559867664,0.8461538461538461,2.5288461538461537
m4_weekly,chronos,3,1355,0.41522906376765323,1.0,3.798076923076923
m4_weekly,chronos,3,1378,0.2504239644759741,0.6923076923076923,1.2211538461538463
m4_weekly,chronos,3,1400,0.2242054865910457,0.6153846153846154,0.9423076923076923
m4_weekly,chronos,3,1423,0.5255767235389123,1.0,4.384615384615385
m4_weekly,chronos,3,1445,0.21923324389335436,1.0,1.875
m4_weekly,chronos,3,1468,0.162477532411233,1.0,1.2884615384615385
m4_weekly,chronos,4,298,1.0057222782037196,0.07692307692307693,1.9245793269230769
m4_weekly,chronos,4,302,0.99350623473143,0.07692307692307693,0.9693509615384616
m4_weekly,chronos,4,305,0.8366166396018786,0.0,1.4795673076923077
