dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_weekly,chronos,2,1613,0.0711063727354392,0.8461538461538461,0.33653846153846156
m4_weekly,chronos,2,1644,0.07649157108404699,0.6923076923076923,0.3798076923076923
m4_weekly,chronos,3,1482,0.14204716804700018,0.9230769230769231,1.0769230769230769
m4_weekly,chronos,3,1515,1.5549867287660257,0.0,1.2211538461538463
m4_weekly,chronos,3,1547,0.5314056787735376,1.0,3.2788461538461537
m4_weekly,chronos,3,1580,0.35423142848870687,1.0,3.326923076923077
m4_weekly,chronos,3,1612,0.5610919463328825,0.6153846153846154,1.9326923076923077
m4_weekly,chronos,3,1645,0.46648778670873386,1.0,3.4615384615384617
m4_weekly,chronos,3,1677,0.36368286915314496,1.0,3.75
m4_weekly,chronos,3,1710,0.5265115102132161,0.9230769230769231,4.038461538461538
m4_weekly,chronos,4,338,0.3378395924201379,0.3076923076923077,0.6442307692307693
m4_weekly,chronos,4,344,0.36433185797471274,0.07692307692307693,0.7043269230769231
m4_weekly,chronos,4,350,0.1735993519807473,1.0,1.375
m4_weekly,chronos,4,356,0.29902756886604503,0.6153846153846154,1.1213942307692308
m4_weekly,chronos,4,361,0.3223881122393486,0.7692307692307693,1.203125
m4_weekly,chronos,4,367,0.1645097952622634,1.0,1.5600961538461537
m4_weekly,chronos,4,373,0.3635813798659887,0.46153846153846156,1.1995192307692308
m4_weekly,chronos,4,379,0.7428556760152182,0.0,1.0324519230769231
m4_weekly,chronos,5,1426,0.20218255947797725,0.07692307692307693,0.3701923076923077
m4_weekly,chronos,5,1457,0.08234687707363031,0.9230769230769231,0.4423076923076923
m4_weekly,chronos,5,1488,0.02715276571420523,1.0,0.21153846153846154
m4_weekly,chronos,5,1519,0.028595772767678287,0.6923076923076923,0.11538461538461539
m4_weekly,chronos,5,1551,0.0433096176538712,0.6153846153846154,0.15865384615384615
m4_weekly,chronos,5,1582,0.08882774450840093,0.07692307692307693,0.21634615384615385
m4_weekly,chronos,5,1613,0.1781597675421299,0.0,0.22115384615384615
m4_weekly,chronos,5,1644,0.052758911328438,1.0,0.34615384615384615
m4_weekly,chronos,6,1975,0.19338603386512168,0.15384615384615385,0.4855769230769231
m4_weekly,chronos,6,2019,0.31528036166460094,0.8461538461538461,1.6442307692307692
m4_weekly,chronos,6,2063,0.14969158661671172,0.3076923076923077,0.2932692307692308
m4_weekly,chronos,6,2107,0.12098197937011719,0.8461538461538461,0.6057692307692307
m4_weekly,chronos,6,2151,0.1808858284583459,0.9230769230769231,1.0336538461538463
m4_weekly,chronos,6,2195,0.14116081335605718,0.8461538461538461,0.7644230769230769
m4_weekly,chronos,6,2239,0.13197646996913814,0.6153846153846154,0.5769230769230769
m4_weekly,chronos,6,2283,0.11769865965231868,1.0,1.3365384615384615
m4_weekly,chronos,7,1975,0.12235345106858474,0.8461538461538461,0.6682692307692307
m4_weekly,chronos,7,2019,0.10356295169928134,0.5384615384615384,0.2860576923076923
m4_weekly,chronos,7,2063,0.05839772835755959,1.0,0.4879807692307692
m4_weekly,chronos,7,2107,0.13784413215441585,0.38461538461538464,0.20192307692307693
m4_weekly,chronos,7,2151,0.08580057193071415,0.8461538461538461,0.4182692307692308
m4_weekly,chronos,7,2195,0.04801548688839643,0.9230769230769231,0.39903846153846156
