role,method,dataset,domain,windows,series,mse,mae,rmse,mase,rmsse,smape,wape_numerator,wape_denominator,wape,patchtst_mse,relative_mse_reduction
confirmation,last_value,tourism_monthly,tourism,192,24,22.837735218832176,3.021146229548726,3.689168789879634,2.3621798452733596,2.273628574556945,0.38808260623986796,38614797.210870236,1.5730925e+08,0.24547061092600378,13.826759269397877,-0.6517055641069758
confirmation,oracle_selector,bitcoin,economic,144,18,9375.646137900532,33.348007124234734,37.48192548154902,13.845684393223815,1.6935525566944238,0.30947175872885124,4.511927440554521e+21,2.944461e+22,0.15323440517030412,9390.32478097645,0.0015631667081053013
confirmation,oracle_selector,fred_md,macroeconomic,192,24,39.64979718108807,1.1915320873250217,1.3190152643388129,0.6959703266981663,0.6746086194621688,0.08989247369392774,24826682.07475971,2.5137315e+08,0.09876425496211987,40.255214690246945,0.015039480321180743
confirmation,oracle_selector,kdd_air,air_quality,192,24,1.0172394519498917,0.610601679961898,0.7014915018401711,73.74506817171087,0.8301948055153003,0.553265039805401,117752.39935411992,237219.4,0.49638603019697053,1.1057381086564229,0.08003582042954582
confirmation,oracle_selector,m4_hourly,competition_hourly,192,24,0.3951622514665893,0.46159508146465256,0.5513584867871751,3.84419669782358,3.639495037025126,0.1640142927412531,4647484.046609765,7.485511e+07,0.06208639493599001,0.5009415711731597,0.21116099320494575
confirmation,oracle_selector,m4_weekly,competition_weekly,192,24,2.3718761070518126,0.6623233104536643,0.7834241857818331,3.224802024396634,2.837459639808316,0.05942639938098773,632062.1270592852,1.4279037e+07,0.044265038815942924,2.6003773882075536,0.08787235352528866
confirmation,oracle_selector,nn5,banking,192,24,0.7847953332428194,0.6684435235670262,0.8708141992786151,1.110131486802648,1.0218027878914429,0.28931055712252884,50853.03515736093,198289.8,0.256458153464236,0.830744318037187,0.05531062180832247
confirmation,oracle_selector,pedestrian,transport,192,24,0.22615338885622596,0.3185017424246123,0.3958839103621173,1.4219900044497145,1.1984110332149103,0.6911559559957549,654340.08965192,1.918964e+06,0.3409861204545369,0.26949376454565516,0.16082144149976008
confirmation,oracle_selector,rideshare,mobility,192,24,2.642767625827038,1.5485799674814997,1.5897901902361704,561443.1928393787,158.37058308721572,1.2628201495057676,15899.074614037112,20529.19,0.7744618778223082,2.7234766475307595,0.02963455617542987
confirmation,oracle_selector,temperature_rain,climate,192,24,4.362955170362328,1.06845989646556,1.4795762790097677,1.2317808136091521,0.9009150279679132,1.4475346338785398,38415.088581708194,41609.645,0.9232255890303844,4.469381644411449,0.023812348668455607
